karma	trump_sentiment
0	62
0	51
0	47
0	51
0	45
0	50
0	50
0	75
0	50
0	50
0	50
0	31
0	50
0	55
0	61
0	45
0	42
0	51
0	56
0	41
0	50
0	26
0	58
0	61
0	87
0	53
0	44
0	49
0	85
0	51
0	50
0	50
0	50
0	32
0	46
0	68
0	45
0	37
0	53
0	33
0	49
0	51
0	52
0	57
0	50
0	49
0	65
0	52
0	45
0	15
0	64
0	41
0	55
0	27
0	54
0	50
0	50
0	68
0	65
0	75
0	45
0	69
0	50
0	52
0	52
0	25
0	43
0	39
0	60
0	80
0	75
0	50
0	39
0	40
0	60
0	50
0	55
0	53
0	50
0	0
0	45
0	56
0	44
0	36
0	75
0	50
0	42
0	61
0	50
0	54
0	37
0	53
0	52
0	50
0	90
0	60
0	61
0	56
0	71
0	65
0	65
0	54
0	54
0	47
